Return_ID,Order_ID,Customer_ID,Product_ID,Return_Date,Return_Quantity,Return_Reason,Return_Status,Refund_Amount
R0347,O00221,C0132,P024,14/11/2025,2,Not as Expected,Rejected,33296.61
R0348,O00577,C0500,P036,9/8/2025,3,Changed Mind,Pending,22882.43
R0349,O00435,C0121,P012,5/11/2025,3,Wrong Item,Refunded,23906.65
R0350,O00512,C0334,P034,23/07/2025,2,DEFECTIVE,Refunded,72598.35
R0351,O01061,C0011,P007,5/5/2025,2,Late Delivery,Rejected,61328.84
R0352,O01747,C0344,P027,21/07/2025,2,Damaged,Pending,0
R0353,O00699,C0010,P027,7/10/2025,1,Size/Color Issue,Approved,71498.84
R0354,O02432,C0004,P019,25/08/2025,3,Wrong Item,Refunded,59927.57
R0355,O00490,C0262,P038,21/12/2025,1,Not as Expected,Refunded,50636.84
R0356,O02361,C0399,P036,13/03/2025,3,Defective,Pending,19324.79
R0357,O01225,C0193,P010,20/03/2025,3,Late Delivery,Refunded,6010.4
R0358,O01073,C0357,P018,3/11/2025,2,Changed Mind,Refunded,40310.37
R0359,O01113,C0035,P038,21/12/2025,2,Changed Mind,Approved,59408.71
R0360,O01549,C0100,P033,4/7/2025,3,Not as Expected,Approved,8648.02
R0361,O00483,C0174,P020,8/5/2025,3,Size/Color Issue,Rejected,12892.22
R0362,O02152,C0270,P046,10/11/2025,1,Changed Mind,Refunded,72527.43
R0363,O00617,C0028,P001,19/06/2025,2,Damaged,Approved,7846.19
R0364,O02240,C0073,P015,24/04/2025,3,Size/Color Issue,Pending,33710.5
R0365,O02073,C0162,P007,20/07/2025,2,Not as Expected,Pending,26200.07
R0366,O01115,C0484,P049,13/01/2025,2,Damaged,Rejected,31490.17
R0367,O00030,C0015,P023,13/02/2025,1,Not as Expected,Pending,26450.48
R0368,O01976,C0154,P016,25/06/2025,2,Not as Expected,Pending,39323.05
R0369,O00959,C0497,P007,28/06/2025,2,Damaged,Refunded,54288.55
R0370,O02759,C0313,P026,20/08/2025,2,Damaged,Rejected,3828.89
R0371,O02806,C0266,P002,30/12/2025,1,Damaged,Rejected,48773.76
R0372,O00939,C0458,P009,13/12/2025,1,Size/Color Issue,Pending,38941.55
R0373,O00186,C0223,P006,10/10/2025,1,Defective,Refunded,71905.47
R0374,O01033,C0162,P001,29/04/2025,2,Size/Color Issue,Pending,14385.83
R0375,O00191,C0400,P002,3/12/2025,2,Late Delivery,Approved,55435.43
R0376,O00173,C0097,P016,12/4/2025,2,Changed Mind,Refunded,29468.27
R0377,O01162,C0059,P004,27/12/2025,1,Wrong Item,Rejected,56548.25
R0378,O00044,C0334,P015,2/2/2025,3,Damaged,Pending,27751.58
R0379,O00089,C0305,P007,11/4/2025,2,Damaged,Rejected,50467.26
R0380,O02146,C0262,P005,8/9/2025,3,Size/Color Issue,Rejected,44974.33
R0381,O00813,C0313,P001,9/11/2025,2,Changed Mind,Approved,26420.39
R0382,O00285,C0076,P033,23/08/2025,3,Wrong Item,Rejected,68941.85
R0383,O02359,C0379,P047,30/10/2025,1,Size/Color Issue,Pending,23832.34
R0384,O00533,C0432,P017,3/5/2025,2,Damaged,Pending,28311.3
R0385,O02178,C0305,P031,14/03/2025,3,Late Delivery,Refunded,44933.72
R0386,O00846,C0039,P007,22/10/2025,2,Late Delivery,Pending,36756.93
R0387,O01752,C0304,P014,3/10/2025,3,Size/Color Issue,Pending,41840.99
R0388,O00701,C0278,P003,8/9/2025,2,Wrong Item,Pending,23936.21
R0389,O01978,C0149,P026,19/08/2025,3,Damaged,Rejected,71412.23
R0390,O02021,C0116,P019,6/9/2025,1,Wrong Item,Refunded,72305.27
R0391,O02443,C0096,P007,16/09/2025,3,Late Delivery,Refunded,51509.9
R0392,O00152,C0490,P019,1/8/2025,3,Not as Expected,Refunded,36908.11
R0393,O01019,C0475,P014,12/2/2025,3,Damaged,Pending,22260.7
R0394,O02919,C0367,P003,21/05/2025,1,Changed Mind,Rejected,13031.57
R0395,O02382,C0200,P025,23/08/2025,3,SIZE/COLOR ISSUE,Refunded,41454.6
R0396,O01389,C0214,P019,27/02/2025,3,Damaged,Rejected,58245.92
R0397,O02601,C0262,P037,7/7/2025,3,Not as Expected,Approved,57120.31
R0398,O02233,C0387,P018,14/08/2025,3,Wrong Item,Refunded,8130.02
R0399,O00137,C0360,P004,1/12/2025,1,Defective,Approved,34005.06
R0400,O02642,C0360,P048,28/06/2025,1,Late Delivery,Approved,58284.56
R0401,O00476,C0243,P039,2/5/2025,1,Not as Expected,Rejected,64648.13
R0402,O00767,C0308,P005,9/11/2025,3,Late Delivery,Pending,46403.26
R0403,O02427,C0442,P003,16/04/2025,1,Not as Expected,Approved,42970.54
R0404,O01835,C0362,P020,30/09/2025,2,Changed Mind,Pending,24612.19
R0405,O02366,C0493,P035,27/12/2025,2,Defective,Rejected,71453.6
R0406,O01006,C0221,P017,21/09/2025,3,Not as Expected,Approved,10601.37
R0407,O02589,C0361,P037,30/07/2025,1,Defective,Pending,52756.28
R0408,O01839,C0093,P013,9/3/2025,1,Wrong Item,Rejected,62221.89
R0409,O02665,C0254,P034,13/12/2025,2,Late Delivery,Pending,43518.2
R0410,O01681,C0465,P040,18/05/2025,3,Late Delivery,Refunded,34173.38
R0411,O00851,C0230,P037,21/11/2025,1,Late Delivery,Rejected,52255.42
R0412,O01959,C0249,P039,8/7/2025,2,Late Delivery,Rejected,43855.69
R0413,O00224,C0486,P027,17/02/2025,3,Late Delivery,Rejected,63832.91
R0414,O01849,C0338,P011,1/10/2025,2,Wrong Item,Refunded,61951.15
R0415,O01308,C0041,P038,11/9/2025,2,Defective,Rejected,25662.76
R0416,O00657,C0392,P015,23/10/2025,1,Changed Mind,Refunded,59228.62
R0417,O00837,C0322,P014,16/12/2025,1,Damaged,Approved,47150.37
R0418,O02125,C0258,P027,24/08/2025,1,Damaged,Pending,33375.8
R0419,O00176,C0210,P040,1/1/2025,2,WRONG ITEM,Pending,66220.01
R0420,O00804,C0343,P028,4/6/2025,1,Not as Expected,Rejected,7453.83
